visitors_per_day,pageviews_per_day,traffic_growth_rate,peak_hours_start,peak_hours_end,cpu_usage_avg,cpu_usage_peak,ram_usage_avg,ram_usage_max,disk_usage_avg,disk_usage_max,response_time,disk_read_iops,disk_write_iops,plugin_count,heavy_plugins,heavy_plugin_woocommerce,heavy_plugin_elementor,heavy_plugin_wpml,heavy_plugin_yoast,heavy_plugin_revslider,heavy_plugin_gravityforms,php_version,cache_enabled,cdn_enabled,wp_type,recommended_capacity_score
117921,682353,70.29,09:15,18:45,57.96,81.91,58.06,76.33,28.74,42.34,466.08,2468.23,259.79,12,,0,0,0,0,0,0,8.1,oui,non,performance,61.6947
77008,261473,43.99,10:15,18:00,52.66,83.85,66.29,76.41,56.69,71.42,484.73,987.92,270.85,53,"woocommerce,elementor",1,1,0,0,0,0,8.2,non,non,small,58.1691
19260,121915,28.91,09:15,18:15,27.57,48.83,30.97,46.04,26.3,46.57,294.26,417.84,45.8,5,"woocommerce,elementor,wpml",1,1,1,0,0,0,7.4,oui,oui,medium,32.026
125971,372333,13.56,12:15,19:30,53.47,76.11,76.11,100.0,47.3,60.81,462.43,1365.34,379.75,76,,0,0,0,0,0,0,8.0,oui,non,small,59.1983
67585,202887,26.46,08:30,15:15,53.55,82.42,69.08,88.49,55.21,70.68,473.37,716.63,212.02,53,"woocommerce,elementor,yoast",1,1,0,1,0,0,8.1,non,oui,small,56.1717
75078,291540,28.5,08:15,17:30,38.13,65.53,54.83,68.76,57.87,75.62,278.02,1074.24,236.38,50,"elementor,yoast",0,1,0,1,0,0,8.1,oui,oui,small,48.6034
55651,296717,33.81,07:30,17:45,55.37,69.39,73.23,82.24,30.27,39.29,435.29,1072.91,200.08,63,,0,0,0,0,0,0,8.3,non,non,medium,58.5753
27423,60837,25.26,07:45,22:15,25.72,47.75,34.66,56.85,65.32,86.91,266.66,205.42,113.03,24,gravityforms,0,0,0,0,0,1,7.4,oui,non,medium,31.4956
139019,713872,62.14,08:45,22:15,63.25,79.99,72.99,93.51,63.75,68.07,605.11,2584.9,339.83,44,yoast,0,0,0,1,0,0,8.0,oui,non,medium,70.7459
117246,142373,19.02,09:00,15:15,44.25,66.71,56.33,76.32,72.57,85.66,252.29,537.57,319.46,35,elementor,0,1,0,0,0,0,8.3,oui,oui,small,50.237
96598,250299,61.36,07:45,19:30,59.35,90.42,80.47,100.0,53.41,57.73,521.33,909.36,315.55,76,woocommerce,1,0,0,0,0,0,8.0,oui,non,medium,71.1733
60392,384376,18.03,07:00,19:45,37.79,49.74,55.56,79.33,43.71,57.49,325.26,1358.52,234.57,52,yoast,0,0,0,1,0,0,8.3,oui,oui,medium,47.0461
123423,577529,81.87,09:15,19:15,43.33,52.92,52.82,70.1,61.99,82.39,429.94,2103.71,321.89,34,"woocommerce,wpml",1,0,1,0,0,0,8.3,oui,oui,medium,57.0138
81837,298833,44.31,11:30,16:00,51.31,75.31,70.95,85.47,63.71,81.46,410.59,1089.01,284.81,64,"wpml,yoast",0,0,1,1,0,0,8.0,oui,oui,medium,63.5879
66540,337913,34.16,08:30,16:30,39.71,71.67,47.21,55.41,38.51,61.44,330.14,1233.85,159.68,21,"woocommerce,wpml,yoast",1,0,1,1,0,0,8.0,oui,oui,small,43.2695
67596,237049,34.04,08:45,21:30,54.18,78.42,71.85,81.16,78.16,85.62,405.32,834.67,216.92,54,"elementor,yoast",0,1,0,1,0,0,8.2,oui,oui,medium,53.674
34124,60244,46.01,12:00,19:00,37.16,54.63,51.41,65.36,43.23,58.2,342.36,257.56,143.95,43,"elementor,wpml",0,1,1,0,0,0,8.3,oui,non,medium,45.5653
13865,53201,59.9,11:45,15:00,45.6,72.78,49.59,70.4,20.45,25.82,380.54,201.52,123.65,13,elementor,0,1,0,0,0,0,8.0,non,oui,performance,49.7028
83210,521196,22.2,08:30,16:00,67.98,78.58,77.99,93.87,54.0,65.98,513.88,1883.6,275.15,45,,0,0,0,0,0,0,8.3,non,non,performance,62.8265
133189,352256,63.58,09:00,19:45,45.29,64.39,58.48,85.32,89.23,100.0,331.38,1305.52,324.9,42,,0,0,0,0,0,0,8.2,oui,oui,small,59.1097
9619,14238,23.51,06:30,16:15,29.9,53.46,54.76,63.82,41.07,46.0,405.09,23.17,163.48,74,elementor,0,1,0,0,0,0,8.0,oui,oui,performance,40.4814
128751,660381,60.28,06:30,15:45,38.56,48.89,61.35,72.0,72.42,88.9,325.08,2347.19,375.43,77,yoast,0,0,0,1,0,0,8.2,oui,oui,medium,61.3158
124154,447990,4.45,11:45,19:00,60.48,79.67,62.15,70.49,33.37,50.94,531.57,1624.04,266.18,15,"wpml,yoast",0,0,1,1,0,0,8.0,non,oui,medium,56.7405
41550,123567,42.29,12:45,17:45,27.34,44.18,31.85,52.76,78.48,91.21,310.18,471.47,111.25,10,"woocommerce,wpml",1,0,1,0,0,0,8.0,oui,oui,medium,37.933
94768,358598,18.11,09:30,17:30,54.75,83.08,69.5,89.76,34.36,42.23,521.91,1298.97,286.93,57,"woocommerce,yoast,revslider",1,0,0,1,1,0,8.1,non,oui,medium,61.3742
24826,152158,66.68,12:30,22:15,39.76,53.82,55.79,81.8,78.51,89.48,233.22,563.4,156.32,45,elementor,0,1,0,0,0,0,8.2,oui,oui,small,42.6166
113726,287308,4.31,10:30,23:15,57.55,84.24,65.06,91.26,58.63,65.49,566.21,1039.74,275.76,37,yoast,0,0,0,1,0,0,8.1,non,non,medium,59.3592
105094,237802,40.56,06:30,15:45,40.96,56.07,60.31,87.73,40.72,59.85,418.52,895.19,329.3,62,"woocommerce,elementor",1,1,0,0,0,0,8.3,oui,oui,medium,53.8272
53211,214426,80.22,10:45,22:15,48.9,74.35,51.88,71.88,40.37,56.47,458.31,778.23,138.63,18,elementor,0,1,0,0,0,0,8.3,non,non,medium,52.8295
10234,37410,45.17,08:00,18:00,23.32,43.1,28.25,49.48,39.04,54.1,103.75,173.33,42.21,7,,0,0,0,0,0,0,8.0,oui,oui,medium,31.3691
145607,290329,26.1,12:30,19:30,47.82,79.63,58.34,75.13,40.42,46.85,375.97,1085.02,374.64,38,wpml,0,0,1,0,0,0,8.1,oui,non,small,60.7661
66881,286082,69.35,11:15,17:45,46.08,56.93,58.73,69.91,36.55,47.05,394.72,1037.28,205.79,45,"elementor,wpml",0,1,1,0,0,0,8.1,oui,non,medium,53.3168
133974,568692,61.11,08:15,21:00,45.18,53.61,44.91,62.77,26.1,40.72,461.61,2067.0,280.32,5,"woocommerce,elementor",1,1,0,0,0,0,8.3,oui,oui,performance,59.3216
101704,448390,0.09,08:15,22:45,45.09,70.74,63.24,85.39,36.55,55.32,451.0,1621.16,315.69,60,"yoast,revslider,gravityforms",0,0,0,1,1,1,8.1,oui,non,small,53.5734
116769,396062,2.57,09:00,21:45,54.22,64.64,73.74,83.56,69.27,85.49,323.13,1435.99,339.9,64,"elementor,revslider",0,1,0,0,1,0,8.0,oui,oui,medium,62.095
113997,312039,11.82,08:00,23:45,84.04,100.0,93.58,100.0,24.37,42.28,888.94,1099.59,320.92,55,"woocommerce,yoast",1,0,0,1,0,0,8.1,non,non,performance,72.2025
29236,85957,30.59,06:15,16:30,32.25,59.92,57.06,82.17,75.76,88.8,276.85,326.31,201.26,74,"woocommerce,elementor,wpml,yoast",1,1,1,1,0,0,8.2,oui,oui,small,44.5842
54618,307067,22.36,11:30,21:30,68.57,76.73,74.21,84.1,39.78,57.99,586.05,1125.74,169.28,31,"woocommerce,yoast",1,0,0,1,0,0,8.0,non,non,performance,57.648
70035,316068,5.84,06:00,16:15,26.75,51.88,40.11,61.54,55.61,70.25,220.74,1181.29,244.2,38,,0,0,0,0,0,0,8.0,oui,oui,medium,38.2442
74694,247201,32.89,07:30,22:15,66.45,90.93,80.77,94.52,56.15,67.7,397.13,887.92,249.32,55,woocommerce,1,0,0,0,0,0,8.0,non,non,small,61.5351
6618,29452,8.78,08:00,17:15,23.26,41.8,39.54,60.84,53.87,76.65,213.15,94.3,124.5,43,"elementor,revslider",0,1,0,0,1,0,8.2,oui,oui,medium,31.9549
82008,250366,59.85,08:30,16:30,51.61,80.75,58.63,79.09,42.88,54.64,375.91,923.38,212.89,27,"woocommerce,wpml,yoast",1,0,1,1,0,0,8.3,non,oui,small,58.4598
23185,133824,51.35,09:15,18:15,49.99,73.37,67.24,79.91,38.74,44.03,462.84,495.3,123.49,59,,0,0,0,0,0,0,8.1,non,non,medium,49.6221
111519,563890,32.8,06:15,16:45,33.35,57.37,43.33,59.46,65.12,80.87,345.48,2018.47,252.21,32,"elementor,yoast",0,1,0,1,0,0,8.3,oui,oui,medium,49.0872
102473,177793,26.05,08:30,18:30,50.63,72.95,70.82,82.51,69.11,73.25,597.08,668.37,330.64,73,woocommerce,1,0,0,0,0,0,7.4,non,oui,small,59.0596
138383,207256,21.31,10:00,20:15,47.06,67.44,50.62,59.21,17.64,27.95,251.79,796.39,303.03,13,,0,0,0,0,0,0,7.4,oui,oui,medium,54.094
111727,153860,10.4,12:15,21:45,45.34,56.76,58.59,70.36,82.26,100.0,438.34,545.54,311.34,47,yoast,0,0,0,1,0,0,8.3,oui,non,performance,57.9703
55028,74063,27.0,10:15,23:30,32.02,46.5,42.95,62.85,7.61,29.89,142.95,295.4,155.26,29,,0,0,0,0,0,0,8.1,oui,oui,medium,39.3837
145129,556369,6.05,10:30,20:15,47.39,77.67,49.1,62.69,18.05,30.49,436.12,1988.28,297.67,8,"elementor,wpml,yoast",0,1,1,1,0,0,8.1,oui,oui,medium,57.2487
61657,133084,41.06,12:00,21:30,50.38,63.85,57.53,79.13,41.31,56.29,292.17,493.55,166.8,21,"elementor,yoast",0,1,0,1,0,0,8.1,oui,non,small,46.7828
48907,233532,81.39,10:15,15:15,45.39,74.87,53.5,74.16,39.42,50.96,560.67,853.78,142.52,29,"woocommerce,elementor,wpml,yoast",1,1,1,1,0,0,8.0,oui,non,small,51.2791
135835,510554,69.3,09:45,21:15,48.7,77.53,51.99,74.49,43.72,62.78,412.08,1853.17,278.99,17,,0,0,0,0,0,0,8.0,oui,non,small,59.5227
55600,94265,80.21,10:00,20:15,55.52,76.01,57.12,83.05,27.94,43.44,493.92,345.98,144.69,12,yoast,0,0,0,1,0,0,7.4,non,oui,medium,56.281
11497,14151,23.04,06:00,22:30,26.67,42.65,32.74,49.13,31.49,38.18,252.37,65.94,69.41,12,"elementor,yoast,revslider",0,1,0,1,1,0,8.2,oui,non,small,29.4091
70460,98266,35.49,09:30,16:45,45.43,63.57,60.53,78.28,53.91,61.01,374.85,387.8,230.08,49,"wpml,yoast,revslider",0,0,1,1,1,0,8.2,oui,oui,performance,53.7188
119363,480637,62.09,06:30,16:30,62.16,88.93,59.11,81.41,27.98,32.28,648.58,1735.26,247.33,1,"elementor,gravityforms",0,1,0,0,0,1,8.2,oui,non,performance,62.8294
28461,122638,28.37,08:30,18:00,41.53,73.26,63.01,89.29,75.27,91.48,296.98,437.18,189.72,66,"woocommerce,wpml,gravityforms",1,0,1,0,0,1,8.2,oui,oui,performance,53.9299
69468,213334,10.96,09:45,23:45,28.85,43.15,45.14,58.62,38.25,55.87,252.27,753.85,225.9,48,woocommerce,1,0,0,0,0,0,8.1,oui,oui,medium,39.7875
19531,31604,43.52,06:45,22:15,30.9,52.79,47.49,66.94,66.9,77.01,224.9,138.38,103.56,48,"elementor,gravityforms",0,1,0,0,0,1,8.2,oui,non,small,38.1089
102988,633772,81.42,12:45,22:30,48.58,71.4,65.68,77.24,72.18,86.73,318.38,2275.39,324.96,55,"yoast,revslider",0,0,0,1,1,0,8.3,oui,oui,small,55.9519
71382,239149,65.33,12:45,15:45,41.87,69.5,42.14,50.42,56.62,69.61,440.69,862.74,154.03,1,"elementor,revslider",0,1,0,0,1,0,8.1,oui,non,small,45.0375
49563,172248,25.28,10:15,15:45,34.34,56.48,46.47,57.05,79.91,95.29,220.36,606.55,190.83,33,elementor,0,1,0,0,0,0,8.2,oui,oui,medium,41.94
34075,109780,25.18,07:00,23:00,24.03,47.2,34.7,49.92,67.13,85.7,253.25,402.4,125.7,29,"woocommerce,elementor,yoast",1,1,0,1,0,0,8.1,oui,oui,medium,33.837
84697,128330,2.89,07:45,21:30,50.34,79.17,71.78,86.03,60.56,75.88,327.58,499.72,263.0,67,,0,0,0,0,0,0,8.1,oui,oui,performance,60.1166
100489,498965,58.13,12:00,21:30,79.94,100.0,86.31,100.0,45.09,66.66,643.52,1789.84,267.17,36,revslider,0,0,0,0,1,0,8.3,non,non,medium,74.1282
141049,666244,3.14,07:45,20:15,42.61,68.93,50.4,63.4,35.31,51.64,445.35,2435.54,318.76,28,"elementor,yoast,gravityforms",0,1,0,1,0,1,8.3,oui,non,small,53.1758
65601,135903,41.93,10:00,23:00,38.15,61.35,54.65,79.35,46.69,56.79,371.16,522.54,233.23,51,"elementor,wpml,gravityforms",0,1,1,0,0,1,8.2,oui,oui,medium,47.7327
24145,63344,73.33,10:45,15:30,44.65,69.93,49.67,72.65,34.95,57.02,281.75,248.39,86.39,12,wpml,0,0,1,0,0,0,8.2,oui,oui,performance,46.9701
124910,511965,52.84,07:15,15:45,75.1,100.0,70.42,88.18,19.68,42.02,727.36,1830.24,273.03,10,"woocommerce,yoast",1,0,0,1,0,0,8.3,non,non,performance,71.9778
94483,302049,49.54,12:45,16:45,59.35,85.9,78.27,91.89,70.08,82.5,457.92,1109.45,313.23,65,yoast,0,0,0,1,0,0,8.2,oui,non,medium,68.6395
105055,681704,11.41,10:30,15:15,63.78,82.45,72.7,93.54,40.75,52.6,535.2,2449.35,271.93,41,"elementor,wpml",0,1,1,0,0,0,7.4,non,oui,medium,63.8245
14629,56048,8.41,10:45,19:30,35.67,52.48,51.82,62.01,72.5,92.9,301.75,205.39,130.71,49,"woocommerce,yoast,gravityforms",1,0,0,1,0,1,8.3,non,non,small,36.8432
46889,275511,43.65,11:00,17:15,39.71,69.89,45.71,72.5,45.38,55.92,420.86,1006.77,124.47,18,gravityforms,0,0,0,0,0,1,8.0,oui,non,medium,47.5768
115188,263140,81.98,12:45,18:00,62.5,88.67,64.91,76.97,90.24,100.0,622.73,987.74,278.81,18,"woocommerce,yoast",1,0,0,1,0,0,8.0,oui,non,medium,66.0553
124848,517865,28.25,12:00,22:45,55.99,71.22,72.68,89.98,30.49,35.56,477.99,1860.67,347.3,64,yoast,0,0,0,1,0,0,7.4,oui,non,medium,64.3877
65311,189762,36.54,08:15,18:15,42.4,55.21,66.19,91.08,61.28,79.76,376.56,679.93,270.94,78,elementor,0,1,0,0,0,0,8.2,non,oui,small,55.2328
120725,742803,29.56,08:00,16:15,65.1,77.94,86.56,100.0,76.45,94.65,599.32,2614.51,371.13,79,"woocommerce,elementor,yoast",1,1,0,1,0,0,8.0,oui,oui,performance,75.1062
126262,520358,22.77,06:00,16:45,48.95,67.49,67.78,79.36,50.39,59.6,401.83,1881.77,319.21,64,wpml,0,0,1,0,0,0,8.3,oui,oui,performance,63.0657
58152,271332,14.72,11:15,18:45,28.61,38.46,39.71,63.99,21.62,32.64,279.47,1001.52,157.68,29,"woocommerce,yoast",1,0,0,1,0,0,8.3,oui,oui,small,35.4906
134719,215942,49.93,08:30,16:30,66.43,75.22,66.73,92.36,46.48,56.6,531.34,815.45,299.5,16,woocommerce,1,0,0,0,0,0,8.1,non,non,small,62.8574
43285,163822,2.87,09:15,18:15,43.06,69.28,63.46,83.01,62.63,82.02,250.83,595.75,214.3,60,woocommerce,1,0,0,0,0,0,7.4,oui,oui,medium,47.4474
35971,153639,40.88,11:15,15:45,26.53,54.99,28.58,47.52,27.99,41.79,164.72,555.14,87.55,1,,0,0,0,0,0,0,8.0,oui,oui,performance,34.7807
102390,280460,31.08,12:15,22:45,57.56,77.38,63.15,90.16,45.65,53.33,576.05,1027.55,239.4,29,woocommerce,1,0,0,0,0,0,8.0,non,non,small,57.9299
95533,487176,16.07,12:15,16:15,41.88,67.79,47.58,62.93,42.77,49.91,386.88,1748.25,225.06,17,"wpml,yoast,gravityforms",0,0,1,1,0,1,8.2,oui,oui,medium,46.8028
21006,77152,46.85,12:15,21:15,20.23,33.27,27.66,40.08,68.04,89.74,203.52,298.52,69.87,17,"elementor,revslider",0,1,0,0,1,0,8.3,oui,oui,medium,30.3959
124919,521529,36.21,08:45,17:00,52.43,73.24,75.24,100.0,55.47,72.02,423.27,1883.72,423.08,77,"elementor,gravityforms",0,1,0,0,0,1,8.1,oui,oui,medium,69.5525
30026,93468,2.04,11:30,22:15,36.89,60.55,39.07,48.97,39.4,45.14,172.97,341.37,80.09,3,wpml,0,0,1,0,0,0,8.2,non,non,performance,38.7511
120745,577822,50.31,11:15,17:45,65.02,88.54,63.45,74.86,31.6,48.52,657.65,2033.51,267.58,8,"woocommerce,elementor,revslider,gravityforms",1,1,0,0,1,1,8.2,oui,non,performance,65.7314
1153,2014,25.2,12:45,15:45,18.51,26.6,22.62,35.04,52.9,61.41,51.4,16.91,4.87,3,,0,0,0,0,0,0,8.2,non,oui,medium,23.3882
119537,464162,48.82,06:30,19:00,42.8,53.61,55.85,83.19,83.05,95.74,314.32,1652.4,311.56,44,"woocommerce,wpml",1,0,1,0,0,0,8.2,oui,oui,medium,60.3691
118050,702030,68.87,09:30,20:00,62.9,74.52,80.25,92.84,63.85,71.85,502.56,2546.69,341.14,63,yoast,0,0,0,1,0,0,8.2,oui,oui,performance,76.2545
117066,286398,5.55,12:15,16:45,35.69,57.77,37.18,59.12,67.04,75.82,381.05,1028.02,270.03,5,"elementor,gravityforms",0,1,0,0,0,1,8.1,oui,non,small,43.1391
99745,578797,50.89,09:00,20:45,68.18,81.34,88.21,100.0,53.04,75.35,517.31,2058.47,349.45,76,"woocommerce,wpml",1,0,1,0,0,0,7.4,oui,non,medium,70.5576
70761,416837,19.96,10:45,17:00,43.34,59.59,66.33,86.66,35.85,40.97,511.59,1543.74,288.28,78,"elementor,wpml,yoast,gravityforms",0,1,1,1,0,1,7.4,oui,non,small,52.1151
105790,256148,35.75,11:45,17:00,33.21,43.25,37.28,52.75,38.69,45.07,330.95,914.13,205.75,11,"elementor,revslider",0,1,0,0,1,0,8.1,oui,oui,small,44.3841
41604,67724,12.35,07:15,16:45,32.02,55.84,40.12,66.74,73.22,86.23,204.57,259.35,93.56,18,"elementor,yoast",0,1,0,1,0,0,8.2,oui,oui,small,34.1427
117121,615051,67.46,12:30,15:45,47.62,60.09,56.57,82.4,96.0,100.0,418.48,2198.85,325.58,32,elementor,0,1,0,0,0,0,8.1,oui,oui,medium,59.8307
83369,523597,3.93,10:30,18:00,39.36,48.0,46.69,70.86,52.63,73.75,328.23,1900.81,184.62,22,"wpml,gravityforms",0,0,1,0,0,1,8.1,oui,non,small,41.5342
68864,175968,18.34,08:00,21:00,58.33,67.66,75.54,89.84,44.47,66.62,503.81,625.08,244.07,63,revslider,0,0,0,0,1,0,8.2,non,non,medium,55.5959
75866,458148,57.51,07:30,23:00,47.5,67.47,68.3,81.41,67.8,81.39,381.97,1655.53,255.69,66,gravityforms,0,0,0,0,0,1,8.2,oui,oui,medium,56.7937
85333,196546,57.94,11:30,18:15,39.28,67.73,58.3,80.86,36.03,44.17,303.85,699.07,275.15,62,,0,0,0,0,0,0,8.1,oui,non,small,52.1006
5637,17499,70.13,09:30,20:45,56.42,73.0,65.53,75.81,76.17,87.09,414.75,107.87,127.41,35,"yoast,revslider",0,0,0,1,1,0,8.3,non,non,performance,54.3428
21012,123872,76.1,06:00,17:15,41.35,67.1,63.36,78.31,67.91,76.4,388.33,484.15,165.0,71,"woocommerce,elementor,wpml",1,1,1,0,0,0,8.0,oui,non,small,49.1338
36860,103632,20.51,10:15,23:45,29.87,60.2,34.21,51.53,43.89,51.5,174.88,385.38,107.27,6,elementor,0,1,0,0,0,0,8.2,oui,oui,medium,32.4682
17223,89648,79.02,08:45,15:30,44.95,64.42,66.88,76.49,44.55,52.69,366.87,380.5,157.63,70,gravityforms,0,0,0,0,0,1,8.1,oui,non,medium,49.6999
65970,130550,69.91,07:30,22:15,35.7,64.26,51.33,69.57,49.21,56.88,405.86,508.47,211.43,49,woocommerce,1,0,0,0,0,0,8.1,oui,oui,medium,51.9894
100277,321634,58.3,06:30,22:15,64.02,95.89,75.23,100.0,49.71,57.61,482.17,1168.94,304.61,43,,0,0,0,0,0,0,8.3,non,oui,medium,67.0706
98182,607344,15.58,08:30,15:30,62.49,73.67,80.23,90.58,22.35,41.57,670.58,2187.81,314.09,72,"woocommerce,yoast",1,0,0,1,0,0,8.0,non,non,small,63.5541
70691,169608,62.0,07:00,19:45,71.58,96.49,91.82,100.0,49.61,62.04,694.78,640.71,278.27,80,"elementor,wpml",0,1,1,0,0,0,8.0,non,non,small,67.9238
128270,630962,65.93,12:45,19:30,50.86,73.6,56.02,75.97,16.79,25.44,547.3,2301.58,306.23,27,"elementor,yoast",0,1,0,1,0,0,8.2,non,oui,small,62.8519
84807,515086,60.03,08:45,18:00,40.8,55.89,52.85,66.4,57.3,75.43,415.63,1847.75,277.8,42,"wpml,yoast",0,0,1,1,0,0,7.4,oui,oui,medium,54.0197
11925,63921,18.01,10:00,22:15,45.19,65.11,55.3,64.74,33.92,39.45,314.39,238.47,96.99,31,yoast,0,0,0,1,0,0,8.1,non,non,performance,44.4199
114762,714317,39.24,08:45,19:45,72.55,96.63,73.09,100.0,84.13,100.0,658.78,2537.02,247.23,17,"woocommerce,elementor",1,1,0,0,0,0,7.4,non,oui,medium,70.2468
86211,534669,52.8,12:45,18:15,46.31,70.75,53.44,72.85,51.0,67.57,292.58,1923.29,228.75,24,,0,0,0,0,0,0,8.3,oui,non,medium,56.034
95226,171623,8.64,09:15,15:30,48.36,60.55,67.94,89.34,59.47,78.72,319.08,644.37,263.51,64,"woocommerce,elementor",1,1,0,0,0,0,8.3,oui,non,medium,55.8947
84828,372294,58.73,11:15,19:45,58.46,71.46,75.96,98.1,45.47,56.66,447.66,1347.52,281.2,65,"woocommerce,elementor,yoast",1,1,0,1,0,0,8.1,non,oui,small,64.0716
83059,287595,5.65,11:00,23:15,34.92,61.93,54.17,76.63,75.05,98.27,329.8,1035.02,260.65,59,"woocommerce,elementor,wpml",1,1,1,0,0,0,8.0,oui,oui,small,46.7315
13630,65676,39.54,12:15,18:00,31.13,44.66,44.94,67.32,33.09,39.75,281.76,252.71,98.22,39,elementor,0,1,0,0,0,0,8.1,oui,non,medium,35.8397
83903,430884,47.07,08:30,23:00,40.6,50.7,61.84,70.07,46.85,52.56,359.59,1539.35,317.75,66,woocommerce,1,0,0,0,0,0,8.1,oui,oui,small,54.08
119247,298088,60.92,07:45,16:15,34.24,59.59,47.66,71.69,56.29,76.44,288.68,1090.98,338.84,44,yoast,0,0,0,1,0,0,8.0,oui,oui,small,54.2725
45627,248178,84.11,11:15,23:45,52.83,66.77,53.62,78.72,63.91,72.62,530.98,901.45,83.26,10,"woocommerce,wpml,yoast,revslider,gravityforms",1,0,1,1,1,1,7.4,oui,non,medium,54.0627
90446,304692,40.47,06:00,20:45,45.02,73.64,65.47,84.99,65.03,78.41,289.86,1116.51,275.52,62,gravityforms,0,0,0,0,0,1,8.3,oui,oui,small,55.4563
4671,21863,37.93,08:45,17:15,38.39,65.74,56.8,75.8,58.74,74.04,218.19,122.03,118.36,54,,0,0,0,0,0,0,8.1,non,oui,medium,45.1056
52157,180820,30.31,06:45,22:30,22.83,44.01,33.53,43.13,41.55,61.24,247.88,673.27,141.82,28,yoast,0,0,0,1,0,0,8.1,oui,oui,small,32.2209
65536,198863,55.7,12:45,17:30,66.2,80.15,80.84,94.11,50.63,65.09,553.77,727.08,230.54,56,"woocommerce,revslider",1,0,0,0,1,0,8.0,non,oui,medium,65.2957
147412,719024,66.06,06:15,17:30,61.19,74.42,70.05,81.91,44.61,65.04,481.93,2579.62,360.76,38,elementor,0,1,0,0,0,0,8.0,oui,non,small,62.9055
32227,131231,68.73,08:30,16:30,27.29,51.36,39.59,53.7,56.3,64.9,277.41,475.64,129.52,34,"elementor,yoast",0,1,0,1,0,0,8.2,oui,oui,small,36.3316
41518,237503,5.87,07:15,23:00,31.74,62.61,42.49,68.81,37.14,58.95,254.81,881.99,159.08,26,yoast,0,0,0,1,0,0,8.2,oui,oui,small,35.9985
61309,328974,15.03,08:30,17:00,51.89,81.04,53.43,75.34,23.81,34.33,418.3,1237.47,121.8,10,"woocommerce,elementor,wpml",1,1,1,0,0,0,8.3,non,non,medium,51.0634
