visitors_per_day,pageviews_per_day,traffic_growth_rate,peak_hours_start,peak_hours_end,cpu_usage_avg,cpu_usage_peak,ram_usage_avg,ram_usage_max,disk_usage_avg,disk_usage_max,response_time,disk_read_iops,disk_write_iops,plugin_count,heavy_plugins,heavy_plugin_woocommerce,heavy_plugin_elementor,heavy_plugin_wpml,heavy_plugin_jetpack,heavy_plugin_buddypress,heavy_plugin_yoast,heavy_plugin_wordfence,php_version,cache_enabled,cdn_enabled,wp_type,recommended_capacity_score
53211,214426,80.22,11:45,22:30,29.28,57.42,39.08,48.24,5.0,20.15,1313.99,822.33,740.06,18,"elementor,wpml,wordfence",0,1,1,0,0,0,1,8.2,non,non,performance,100.0
10234,37410,45.17,10:45,23:00,18.65,30.09,31.26,40.4,14.05,47.99,336.98,205.62,188.08,7,"woocommerce,elementor,jetpack",1,1,0,1,0,0,0,8.0,oui,non,small,44.0722
145607,290329,26.1,10:30,19:30,78.03,100.0,90.69,100.0,35.7,40.77,3485.43,988.61,2057.03,38,,0,0,0,0,0,0,0,8.1,non,oui,small,67.8103
66881,286082,69.35,07:00,18:15,33.87,52.82,61.1,100.0,53.02,70.1,1753.4,997.67,1010.95,45,"woocommerce,elementor,wpml",1,1,1,0,0,0,0,8.1,non,oui,performance,100.0
133974,568692,61.11,06:15,22:00,70.64,83.33,70.08,100.0,43.91,45.73,3405.33,1698.54,1798.32,5,"elementor,wpml,jetpack,yoast",0,1,1,1,0,1,0,8.0,oui,non,medium,91.7586
101704,448390,0.09,07:30,22:00,61.3,87.96,80.59,100.0,42.64,50.82,2527.39,1425.16,1510.66,60,"woocommerce,wpml,jetpack",1,0,1,1,0,0,0,7.4,non,oui,medium,100.0
116769,396062,2.57,09:30,22:00,55.49,100.0,81.41,100.0,26.65,28.89,2896.9,1274.56,1736.06,64,jetpack,0,0,0,1,0,0,0,8.2,oui,non,small,63.3111
113997,312039,11.82,06:30,19:45,45.88,68.77,89.99,100.0,59.67,60.7,2696.89,1085.78,1665.78,55,"elementor,buddypress",0,1,0,0,1,0,0,8.3,non,non,small,97.6155
29236,85957,30.59,07:45,19:45,23.02,36.32,48.86,57.61,80.28,81.01,643.0,328.39,581.81,74,elementor,0,1,0,0,0,0,0,8.1,oui,oui,medium,30.8387
54618,307067,22.36,07:30,18:15,48.85,60.59,51.12,74.56,27.83,28.39,1353.24,1120.16,791.39,31,"elementor,wordfence",0,1,0,0,0,0,1,8.2,non,non,small,94.9324
70035,316068,5.84,09:45,19:15,32.49,43.89,61.6,70.57,58.09,62.65,1532.11,1103.79,1043.57,38,"jetpack,wordfence",0,0,0,1,0,0,1,8.2,oui,non,medium,50.9546
74694,247201,32.89,11:15,21:15,44.35,54.72,56.25,65.25,50.42,66.88,1731.78,925.81,1135.17,55,"elementor,wpml,jetpack",0,1,1,1,0,0,0,8.2,non,oui,medium,82.6978
6618,29452,8.78,11:15,15:00,17.97,29.07,37.47,62.0,15.19,18.44,403.63,205.68,228.7,43,"woocommerce,wpml,jetpack,yoast,wordfence",1,0,1,1,0,1,1,8.1,oui,non,medium,49.9997
82008,250366,59.85,10:15,17:30,43.33,69.31,69.98,85.08,35.61,43.02,1873.94,888.32,1181.52,27,"woocommerce,elementor",1,1,0,0,0,0,0,8.2,oui,oui,performance,35.155
23185,133824,51.35,09:15,20:00,18.27,34.54,56.07,83.45,58.42,73.6,526.25,564.44,484.18,59,,0,0,0,0,0,0,0,8.3,non,oui,medium,94.4899
111519,563890,32.8,06:30,16:15,60.29,85.8,80.69,100.0,24.84,36.06,2812.21,1756.74,1558.99,32,"woocommerce,jetpack,yoast,wordfence",1,0,0,1,0,1,1,8.2,oui,non,medium,60.6501
102473,177793,26.05,08:45,23:30,45.56,64.18,93.31,100.0,69.36,70.84,2546.38,730.44,1563.12,73,"elementor,jetpack,yoast",0,1,0,1,0,1,0,8.2,oui,oui,medium,38.0462
138383,207256,21.31,08:15,18:00,80.24,98.25,75.65,99.23,41.16,81.63,3490.2,797.9,1897.74,13,"elementor,yoast,wordfence",0,1,0,0,0,1,1,7.4,oui,non,medium,77.4151
111727,153860,10.4,09:30,15:30,65.85,100.0,91.72,100.0,35.75,43.59,2661.0,623.81,1607.9,47,"elementor,buddypress,yoast",0,1,0,0,1,1,0,8.2,non,non,medium,100.0
55028,74063,27.0,11:45,23:00,38.88,59.73,55.29,69.49,42.58,62.57,1361.25,343.87,833.82,29,"elementor,yoast",0,1,0,0,0,1,0,8.2,oui,non,medium,36.7107
145129,556369,6.05,07:30,21:30,77.24,100.0,72.54,83.53,42.13,47.76,3439.52,1704.25,1985.08,8,"elementor,wpml,wordfence",0,1,1,0,0,0,1,8.2,oui,oui,medium,28.0862
61657,133084,41.06,09:15,16:30,30.65,56.57,46.4,60.24,43.08,47.26,1461.75,602.08,881.13,21,"woocommerce,elementor,jetpack,wordfence",1,1,0,1,0,0,1,8.1,oui,oui,small,42.4862
48907,233532,81.39,09:45,20:45,32.61,44.66,56.29,68.7,14.26,31.41,1121.16,890.96,736.2,29,elementor,0,1,0,0,0,0,0,8.1,non,oui,small,94.972
135835,510554,69.3,12:15,22:00,69.98,95.98,65.46,100.0,15.85,28.05,3315.76,1605.73,1881.85,17,"woocommerce,elementor,jetpack",1,1,0,1,0,0,0,8.2,oui,oui,medium,83.3386
55600,94265,80.21,08:45,18:45,39.24,52.56,28.95,40.56,39.49,74.15,1278.87,430.97,766.32,12,,0,0,0,0,0,0,0,8.3,oui,oui,performance,33.4511
11497,14151,23.04,06:45,21:45,9.08,67.63,25.68,59.87,21.44,48.44,319.07,136.0,211.0,12,"wpml,yoast",0,0,1,0,0,1,0,8.2,non,oui,small,44.3634
70460,98266,35.49,06:00,23:45,31.57,57.14,57.14,75.33,44.45,50.17,1790.73,449.31,1043.98,49,"woocommerce,elementor,wpml,buddypress,yoast",1,1,1,0,1,1,0,8.1,oui,non,medium,55.7711
119363,480637,62.09,08:30,19:30,65.47,95.04,66.25,100.0,35.71,56.74,2762.02,1506.59,1587.53,1,"elementor,buddypress",0,1,0,0,1,0,0,8.0,non,non,small,92.5467
28461,122638,28.37,07:00,19:00,26.19,40.02,58.48,100.0,58.33,62.0,655.95,507.59,577.52,66,"woocommerce,elementor,wordfence",1,1,0,0,0,0,1,8.1,oui,non,small,47.6257
69468,213334,10.96,09:15,21:45,35.99,63.43,52.25,82.34,22.27,26.2,1514.01,807.26,1033.33,48,jetpack,0,0,0,1,0,0,0,8.2,oui,oui,performance,37.1548
19531,31604,43.52,11:15,21:00,16.87,100.0,50.71,72.63,70.24,100.0,646.59,158.64,391.48,48,"woocommerce,elementor,jetpack,yoast",1,1,0,1,0,1,0,8.0,oui,oui,medium,45.2824
102988,633772,81.42,12:30,16:30,50.76,72.07,75.4,100.0,30.23,36.8,2453.95,1915.16,1498.78,55,"elementor,jetpack",0,1,0,1,0,0,0,8.1,oui,oui,medium,47.9064
71382,239149,65.33,08:00,22:30,43.83,58.71,35.35,63.68,39.73,47.35,1754.25,888.22,922.28,1,"wpml,jetpack",0,0,1,1,0,0,0,7.4,oui,oui,medium,46.1873
49563,172248,25.28,08:45,15:30,35.48,49.72,58.43,69.14,51.55,73.76,1059.42,660.51,780.61,33,"elementor,yoast",0,1,0,0,0,1,0,8.0,oui,oui,medium,44.0971
34075,109780,25.18,10:45,21:30,19.89,46.37,50.33,66.01,47.17,54.51,845.45,448.06,556.53,29,"woocommerce,elementor",1,1,0,0,0,0,0,8.1,oui,non,medium,47.734
84697,128330,2.89,08:45,18:30,43.7,58.3,83.26,93.76,50.43,67.23,2078.55,513.12,1295.0,67,"woocommerce,elementor,jetpack",1,1,0,1,0,0,0,8.1,oui,non,medium,51.8772
100489,498965,58.13,06:00,21:15,45.28,75.77,77.27,87.19,36.28,39.99,2400.99,1565.33,1465.51,36,"elementor,jetpack",0,1,0,1,0,0,0,8.2,non,non,medium,100.0
141049,666244,3.14,12:30,20:00,69.7,82.77,87.48,100.0,50.69,86.63,3288.93,1950.23,1944.88,28,elementor,0,1,0,0,0,0,0,7.4,non,oui,medium,100.0
65601,135903,41.93,11:45,22:15,43.57,55.12,59.02,85.25,55.17,63.32,1549.46,584.08,993.86,51,jetpack,0,0,0,1,0,0,0,8.1,oui,oui,medium,40.9857
24145,63344,73.33,06:45,18:00,35.01,51.55,31.26,53.65,28.5,37.86,658.43,334.02,349.62,12,,0,0,0,0,0,0,0,8.2,oui,non,performance,55.1864
124910,511965,52.84,12:00,23:15,49.26,62.83,71.94,93.21,26.94,29.82,2915.97,1627.96,1659.75,10,elementor,0,1,0,0,0,0,0,8.3,non,non,small,100.0
94483,302049,49.54,10:30,20:45,52.7,100.0,67.33,100.0,66.08,77.47,2382.18,1061.36,1460.75,65,"wpml,jetpack,yoast",0,0,1,1,0,1,0,7.4,non,non,medium,100.0
105055,681704,11.41,12:45,18:30,56.57,67.52,70.67,81.76,53.25,67.25,2464.89,1981.46,1535.15,41,"woocommerce,jetpack",1,0,0,1,0,0,0,8.2,oui,oui,medium,55.638
14629,56048,8.41,11:30,19:15,32.51,58.96,43.57,52.44,38.11,41.84,378.78,267.23,351.85,49,"jetpack,wordfence",0,0,0,1,0,0,1,8.2,non,oui,small,56.0509
46889,275511,43.65,09:00,15:30,31.07,43.74,48.49,76.83,19.98,56.62,1107.71,1005.33,701.89,18,"jetpack,buddypress",0,0,0,1,1,0,0,8.2,non,non,medium,91.1169
115188,263140,81.98,06:15,23:30,59.81,86.18,71.29,80.68,58.98,79.97,2712.37,946.09,1609.16,18,"woocommerce,elementor",1,1,0,0,0,0,0,8.2,non,oui,small,85.3633
124848,517865,28.25,11:30,21:15,55.14,80.95,86.22,100.0,52.75,60.91,3182.91,1627.97,1801.02,64,"elementor,jetpack",0,1,0,1,0,0,0,8.0,oui,oui,small,53.7889
65311,189762,36.54,12:15,18:30,36.56,81.96,62.46,75.71,48.17,77.76,1619.03,722.7,1095.75,78,jetpack,0,0,0,1,0,0,0,8.2,oui,oui,performance,54.7105
120725,742803,29.56,11:30,17:15,53.22,73.31,88.94,100.0,45.34,100.0,3013.58,2133.19,1801.33,79,"elementor,jetpack,buddypress,yoast",0,1,0,1,1,1,0,8.2,oui,non,small,91.4758
126262,520358,22.77,07:15,19:15,66.54,79.98,94.04,100.0,67.12,74.82,3061.3,1672.39,1836.08,64,"woocommerce,jetpack,yoast,wordfence",1,0,0,1,0,1,1,8.2,oui,non,medium,81.1919
58152,271332,14.72,07:30,22:45,35.99,68.22,43.74,71.33,39.2,41.42,1282.24,959.82,874.48,29,wpml,0,0,1,0,0,0,0,7.4,oui,oui,performance,49.6948
134719,215942,49.93,09:30,15:15,64.47,77.3,77.02,88.75,49.42,58.2,3361.19,783.9,1846.06,16,"woocommerce,elementor,jetpack",1,1,0,1,0,0,0,8.2,non,oui,medium,80.3289
43285,163822,2.87,10:00,15:45,21.49,49.27,49.28,74.71,7.57,16.18,1005.1,692.12,733.3,60,,0,0,0,0,0,0,0,8.1,oui,non,small,48.3508
35971,153639,40.88,12:45,22:30,36.61,60.31,27.25,43.82,37.27,47.77,874.93,587.68,509.94,1,"wpml,yoast",0,0,1,0,0,1,0,8.1,oui,non,small,45.2983
102390,280460,31.08,08:30,21:30,58.17,70.49,71.55,79.73,51.08,59.72,2553.53,981.9,1463.44,29,"elementor,jetpack",0,1,0,1,0,0,0,8.2,non,oui,medium,82.2893
95533,487176,16.07,09:45,22:45,47.44,59.33,53.51,78.81,35.38,76.43,2313.82,1567.81,1355.9,17,"woocommerce,jetpack",1,0,0,1,0,0,0,8.1,oui,non,medium,60.9586
21006,77152,46.85,09:30,21:30,8.43,60.32,40.96,48.97,19.48,26.31,462.63,388.24,317.96,17,"elementor,wordfence",0,1,0,0,0,0,1,8.2,oui,oui,medium,28.6875
124919,521529,36.21,10:15,18:15,63.86,75.42,97.0,100.0,45.97,53.07,3163.34,1612.57,1864.92,77,"woocommerce,wpml,jetpack,buddypress",1,0,1,1,1,0,0,8.2,oui,non,performance,100.0
30026,93468,2.04,08:00,17:15,51.74,64.56,26.48,45.3,30.09,32.9,722.56,382.85,441.78,3,,0,0,0,0,0,0,0,8.3,non,non,small,47.8792
120745,577822,50.31,07:00,20:15,68.3,91.39,58.72,87.72,9.78,18.88,2857.0,1749.51,1624.23,8,"yoast,wordfence",0,0,0,0,0,1,1,8.1,non,non,medium,100.0
1153,2014,25.2,10:00,18:00,9.3,29.36,23.45,65.09,23.56,33.97,192.27,1.0,1.0,3,,0,0,0,0,0,0,0,8.2,oui,non,medium,27.1582
119537,464162,48.82,12:00,23:00,61.02,74.5,79.69,97.65,37.92,75.26,2844.03,1468.32,1707.93,44,"woocommerce,buddypress",1,0,0,0,1,0,0,8.1,oui,non,small,50.5651
118050,702030,68.87,07:30,20:45,59.73,82.47,89.81,100.0,60.95,79.34,3086.93,2047.63,1771.74,63,"woocommerce,yoast",1,0,0,0,0,1,0,8.0,oui,non,small,78.7346
117066,286398,5.55,11:15,15:30,42.23,82.9,55.17,66.85,27.33,38.56,2690.13,1019.88,1579.68,5,jetpack,0,0,0,1,0,0,0,8.1,non,oui,medium,65.8783
99745,578797,50.89,10:15,18:00,51.46,71.97,82.81,97.76,48.93,53.06,2448.01,1729.11,1516.67,76,"woocommerce,jetpack,buddypress",1,0,0,1,1,0,0,8.2,non,oui,medium,100.0
70761,416837,19.96,12:00,20:15,39.16,53.48,72.67,85.32,58.25,78.3,1607.11,1359.88,1115.31,78,"jetpack,wordfence",0,0,0,1,0,0,1,7.4,oui,oui,small,73.7322
105790,256148,35.75,11:30,17:45,62.04,100.0,73.3,92.34,52.31,54.94,2621.43,906.54,1451.0,11,"woocommerce,jetpack",1,0,0,1,0,0,0,8.2,oui,oui,small,45.2837
41604,67724,12.35,07:15,19:00,17.45,42.3,36.4,45.64,40.4,47.91,1010.06,357.35,555.48,18,buddypress,0,0,0,0,1,0,0,8.2,oui,oui,medium,42.1422
117121,615051,67.46,07:30,19:30,76.63,86.77,71.31,86.43,48.59,49.42,2828.99,1839.54,1640.24,32,"elementor,jetpack,buddypress,wordfence",0,1,0,1,1,0,1,7.4,oui,oui,small,50.1683
83369,523597,3.93,10:45,23:00,60.34,95.0,68.16,100.0,26.13,39.53,2132.04,1604.17,1154.84,22,"elementor,wpml,jetpack,buddypress",0,1,1,1,1,0,0,8.0,non,oui,performance,100.0
68864,175968,18.34,12:30,21:00,47.34,70.07,77.24,91.54,58.98,75.39,1458.45,699.02,1063.78,63,woocommerce,1,0,0,0,0,0,0,8.2,non,oui,small,78.3724
75866,458148,57.51,10:15,23:45,42.9,69.32,70.56,89.18,65.27,67.21,1881.5,1511.98,1174.61,66,woocommerce,1,0,0,0,0,0,0,8.0,oui,oui,small,34.8784
85333,196546,57.94,07:00,23:15,60.85,84.99,86.7,94.7,73.92,82.6,1957.79,766.8,1292.32,62,wpml,0,0,1,0,0,0,0,8.1,non,oui,performance,90.8533
5637,17499,70.13,11:30,19:15,5.0,15.72,34.59,71.03,53.58,59.4,471.55,124.95,189.36,35,"woocommerce,elementor,wpml,jetpack",1,1,1,1,0,0,0,8.3,oui,non,small,62.5195
21012,123872,76.1,11:45,23:30,15.38,27.37,51.32,78.45,48.77,54.45,575.59,494.38,444.6,71,"wpml,jetpack",0,0,1,1,0,0,0,8.1,oui,oui,small,63.1981
36860,103632,20.51,11:15,15:30,5.77,18.64,30.47,48.59,60.43,61.05,847.14,495.25,492.74,6,"elementor,yoast",0,1,0,0,0,1,0,8.0,oui,oui,small,32.5287
17223,89648,79.02,06:15,19:45,20.86,45.44,50.3,81.06,71.84,89.91,543.37,431.04,396.7,70,"woocommerce,elementor,jetpack,yoast",1,1,0,1,0,1,0,8.1,non,non,small,100.0
65970,130550,69.91,09:45,22:30,27.91,58.88,60.95,75.76,64.53,65.42,1567.28,508.06,991.77,49,elementor,0,1,0,0,0,0,0,8.2,oui,oui,medium,43.5066
100277,321634,58.3,06:45,19:15,51.11,76.01,78.25,90.59,64.72,69.15,2469.37,1090.49,1460.47,43,"woocommerce,elementor",1,1,0,0,0,0,0,8.3,oui,non,performance,71.5677
98182,607344,15.58,11:30,15:15,66.24,100.0,90.7,100.0,63.8,66.81,2323.25,1842.09,1474.46,72,"elementor,jetpack,buddypress,wordfence",0,1,0,1,1,0,1,8.3,oui,oui,small,60.4014
70691,169608,62.0,10:30,15:15,32.05,42.75,67.68,100.0,39.91,40.59,1649.82,604.52,1154.67,80,"jetpack,buddypress,yoast",0,0,0,1,1,1,0,8.3,non,oui,small,99.8237
128270,630962,65.93,11:30,23:30,57.7,73.84,73.02,86.61,51.59,52.87,2921.94,1881.25,1767.53,27,,0,0,0,0,0,0,0,8.3,oui,oui,performance,41.3922
84807,515086,60.03,09:00,15:30,40.27,63.04,70.41,99.82,52.68,63.59,2083.74,1604.49,1257.98,42,,0,0,0,0,0,0,0,8.0,oui,non,small,61.7975
11925,63921,18.01,12:45,19:00,12.97,26.03,38.55,64.11,78.44,82.8,343.92,329.92,204.57,31,elementor,0,1,0,0,0,0,0,8.2,non,non,small,79.8725
114762,714317,39.24,06:15,17:45,51.59,69.23,70.5,100.0,52.82,61.9,2805.26,2132.36,1579.57,17,"elementor,wordfence",0,1,0,0,0,0,1,8.2,oui,non,medium,57.5035
86211,534669,52.8,07:00,16:30,42.53,57.7,70.83,80.76,42.27,45.09,1915.91,1663.92,1206.12,24,"elementor,wpml",0,1,1,0,0,0,0,8.2,non,non,performance,100.0
95226,171623,8.64,06:15,18:00,56.72,67.05,77.86,96.78,43.62,45.83,2314.49,701.67,1473.51,64,woocommerce,1,0,0,0,0,0,0,8.1,oui,oui,small,57.9487
84828,372294,58.73,10:00,19:30,39.66,50.16,76.69,100.0,44.89,79.07,1894.63,1282.83,1345.54,65,"elementor,wordfence",0,1,0,0,0,0,1,8.3,oui,oui,performance,44.9012
83059,287595,5.65,10:15,22:30,37.91,54.79,84.19,93.81,50.84,59.23,1847.05,1034.58,1265.74,59,"woocommerce,wpml,jetpack",1,0,1,1,0,0,0,8.0,oui,oui,performance,62.0385
13630,65676,39.54,10:00,23:15,20.64,35.84,25.75,63.41,65.19,84.77,245.45,268.65,259.73,39,jetpack,0,0,0,1,0,0,0,8.0,oui,non,performance,67.9061
83903,430884,47.07,08:45,19:00,44.08,56.0,74.35,92.68,48.99,49.48,2133.22,1419.55,1308.92,66,"elementor,wpml",0,1,1,0,0,0,0,8.0,oui,oui,performance,64.4628
119247,298088,60.92,09:00,18:45,48.45,72.91,88.87,97.49,56.93,63.2,2995.81,1029.01,1734.28,44,"elementor,jetpack,buddypress",0,1,0,1,1,0,0,7.4,oui,oui,small,61.0566
45627,248178,84.11,09:30,23:15,30.89,50.34,43.46,100.0,30.64,69.41,1202.29,897.63,636.19,10,"elementor,wordfence",0,1,0,0,0,0,1,8.0,non,non,performance,100.0
